Titulo;Seleccion;Categoria;Descripcion;Materiales;Medidas;Comentario_precio;precio;Imagen_1;Imagen_2
Sujeta LENTES CRISTALIS;n;Accesorio;Realizado con cristalitos de diferentes formas, colores y tama§os, con cadena de acero quir£rgico. Personalizamos.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 15.000;15000;001_sujeta_lentes_cristalis.jpg;
Colar ARANDELAS;n;Collar;Confeccionado con tientos de gamuza y   centro de finas arandelas en acero quir£gico. Record† que personalizamos. Puede realizarse en colores de tu preferencia y el largo que te guste.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 25.000 (sujeto a materiales elegidos);25000;002_colar_arandelas.jpg;
Choker BOTON STRASS;n;Collar;Confeccionado con tientos de gamuza, pasantes de acero quir£rgico y  hermoso dije , muy fino, con detalle de piedra de strass. Record† que personalizamos. Puede realizarse en colores de tu preferencia.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 20.000 (sujeto a materiales elegidos);20000;003_choker_boton_strass.jpg;
Choker BOTON Swarovski;n;Collar;Confeccionado con tientos de gamuza, pasantes de acero quir£rgico y  hermoso dije , muy fino, con detalle de piedritas Swarovski . Record† que personalizamos. Puede realizarse en colores de tu preferencia.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio :  $ 20.000;20000;004_choker_boton_swarovski.jpg;
Pulseras CRISTALIS CUBO;n;Pulsera;Realizadas con cristales cubo combinados con separadores, terminales y mosquet¢n de acero quir£rgico.  TambiÇn pueden realizarse elastizadas. El color es a tu elecci¢n. Consultanos disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio $ 13.000 (sujeto a cristales y  adicionales elegidos).;13000;005_pulseras_cristalis_cubo.jpg;
Collar FIUMINA MIX;n;Collar;Realizado con donas de Fimo, combinadas con mostacillones y  pasantes met†licos.  Cierre marinero acero quir£rgico y  dije letra de tu inicial.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 20.000;20000;006_collar_fiumina_mix.jpg;
Collar ESLABONES INICIAL;n;Collar;Collar de eslabones niquelados con dije de letras inicales en acero quir£rgico.  Tenemos distintos tama§os.  Consultanos disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio letras chicas: $ 20.000 / Precio Maxi letra: $ 25. 000;20000;007_collar_eslabones_inicial.jpg;
Tientos con dijes Desmontables;n;Collar;Tientos de gamuza con terminaciones muy finas de cristalitos.  Los dijes son a elecci¢n y se pueden intercambiar o sacarse si preferis usar el tiento solo. Hay variedad de colores y dijes.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 16.000 (sujeto a dijes elegidos);16000;008_tientos_con_dijes_desmontables.jpg;
Tientos con dijes Desmontables;n;Collar;Tientos de gamuza con terminaciones  met†licas. Los dijes son a elecci¢n y se pueden intercambiar o sacarse si preferis usar el tiento solo. Hay variedad de colores y dijes.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 13.000 (sujeto a dijes elegidos);13000;009_tientos_con_dijes_desmontables_2.jpg;
Collar Cuore movible;n;Collar;Collar realizado con gamuza y dije esmaltado.  Detalle terminal con cristales.   Se puede regular su altura para usarlo con distintos escotes.   Muy delicado! Hay variedad de colores de gamuzas y dijes.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 20.000 (sujeto a dijes elegidos);20000;010_collar_cuore_movible.jpg;
Collar ARIA;n;Collar;Cadena muy fina de Acero Quir£rgico combinada con pasantes del mismo material y arandelas de fimo.  Hay variedad de colores y  dijes para elegir. Se realizan a pedido y en el largo que solicites.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 20.000 (sujeto a materiales elegidos);20000;011_collar_aria.jpg;
Tiento Coquette;n;Dije;Corbat°n de gamuza de altura regulable con dije de mo§o niquelado.  Hay variedad de colores para que puedas complementar y engamar otros colgantes.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 15.000 (sujeto a materiales elegidos);15000;012_tiento_coquette.jpg;
